customer_id,tax_id,c_first_name,c_last_name
CUST-4DE81452,104-33-2181,Brittany,Johnson
CUST-2FB45C8F,133-89-0838,Robert,Cole
CUST-205A4901,402-65-4235,Curtis,James
CUST-EFAAC154,559-40-7816,Christian,Carter
CUST-9264AD97,959-31-0341,Melissa,Delacruz
CUST-5C53A31D,647-52-5534,Jacqueline,Sutton
CUST-A0CFE427,192-83-2764,Veronica,Bowman
CUST-85415E6F,835-03-0564,Carl,Gentry
CUST-B050F0D0,953-76-7242,John,Hoffman
CUST-4FC656C5,496-96-5328,Trevor,Campos
CUST-8DB016DB,122-69-1669,Wendy,Rice
CUST-31EBE609,801-84-5146,Eric,Smith
CUST-2D0F32BB,482-81-4893,Eric,Farmer
CUST-0BA64211,880-95-7015,Natasha,Decker
CUST-FC7B8CAB,430-39-1171,Tiffany,Patel
CUST-28EFAE3A,227-82-4896,Tamara,Hickman
CUST-AAD79949,346-57-8713,Jeffrey,Morgan
CUST-CBF33F83,983-93-0103,Carlos,Johnson
CUST-3ADE89B0,518-34-7382,Jennifer,Khan
CUST-EFA76B8E,973-76-3116,Michael,Jenkins
CUST-664904E8,010-65-1333,Amanda,Taylor
CUST-B392B65C,247-31-7810,Denise,Fernandez
CUST-D94A5B15,013-26-7736,Rachel,Martin
CUST-25453122,064-74-6872,James,Robinson
CUST-92738077,098-05-0097,Wesley,Farrell
CUST-38DFECCB,208-12-1913,Richard,David
CUST-FA168004,939-90-9169,Annette,Stewart
CUST-A311CA55,435-34-6247,Leslie,Walton
CUST-135D9E6C,107-99-1183,William,Anderson
CUST-8DC69AD1,513-54-2784,Cheryl,Archer
CUST-6AF1B060,808-41-2411,Julia,Moore
CUST-79F3CDAF,493-53-4874,Rebecca,Mathis
CUST-56D6CA6E,164-00-5242,Joyce,Arnold
CUST-9D483C63,680-11-2805,Brandi,Hernandez
CUST-5D763789,204-50-5331,Michael,Castro
CUST-9A516985,692-32-2602,Jill,Cook
CUST-21B43933,634-21-6073,James,Sellers
CUST-B40B9D33,543-30-3654,Michelle,Rasmussen
CUST-DF0F93FF,458-68-5014,Gregory,Estes
CUST-4C3A3AFD,401-96-5569,Tracey,Wilson
CUST-728E568A,934-06-0883,Michael,Jones
CUST-14F1B2CB,595-14-8465,Richard,Phillips
CUST-24738049,236-62-9946,Amy,Smith
CUST-D786F74B,436-99-5777,Emma,Dixon
CUST-9C90D361,214-89-5134,Jeffrey,Gonzalez
CUST-2A16424D,003-79-1769,James,Horton
CUST-D73C89C8,763-20-1632,Linda,Dominguez
CUST-54A8F9BA,708-31-7278,Vanessa,Larson
CUST-2F151DFE,798-68-7277,Jonathon,Wright
CUST-5C1BC210,487-34-7143,Joseph,Flores
CUST-083071A4,812-23-6231,Robert,Rivera
CUST-563733EB,760-36-6909,Omar,Smith
CUST-76690096,546-68-8937,Jeffrey,Graham
CUST-7E507E69,065-62-7298,Anthony,Long
CUST-BF16B3E6,901-62-7204,Nicholas,Lewis
CUST-A2B322D3,556-46-4170,Kaitlyn,Williams
CUST-CB2C181E,531-00-3309,Elijah,Martinez
CUST-131EA2B6,193-74-5299,Tamara,Higgins
CUST-2CFC30A2,241-90-4966,Shelly,Gonzalez
CUST-3D128368,931-49-1905,Amanda,Stanley
CUST-B4C0C24D,185-06-7165,Cynthia,Poole
CUST-8DCFB680,262-84-9877,Ryan,Simon
CUST-5FFB2062,453-14-7379,Cheryl,Gray
CUST-171C11C1,075-27-3545,Joshua,Carlson
CUST-2FAEBC02,480-83-1367,Angela,Allen
CUST-A49F8B06,777-01-4363,Kevin,Perkins
CUST-5516584A,788-56-8557,Joseph,King
CUST-EBBB4F64,135-18-2337,Joshua,Lawrence
CUST-39053A70,894-13-4352,Kevin,Erickson
CUST-5A5732D7,240-08-4271,Monique,Andrews
CUST-05BD00CE,777-52-0471,Lynn,Morales
CUST-1DBF13EF,190-22-9413,David,Duran
CUST-0203891F,999-38-6774,Michelle,Branch
CUST-12260A1B,499-09-1334,Donna,Moore
CUST-669D15C9,281-20-6797,Kelly,Hall
CUST-F50043C1,471-34-9361,Amy,Holland
CUST-093391B5,421-02-4994,Scott,Harrison
CUST-8BB4B64A,464-88-7719,Bill,Reynolds
CUST-41B4BFC1,594-01-3990,Yvonne,Chambers
CUST-1BB9E847,490-27-8742,Wendy,Graham
CUST-A3484F2D,717-56-5512,Mark,Steele
CUST-7F0F595E,468-07-1545,Darrell,Barton
CUST-F5799B4A,808-76-0385,Cindy,Jimenez
CUST-AFE0F8A8,703-48-2477,David,Dudley
CUST-298A0923,932-48-0861,Jeffrey,Skinner
CUST-DE76602E,171-27-4846,Mary,Baird
CUST-62353833,378-26-3982,Michelle,Hill
CUST-14F19CE0,658-40-4499,Yolanda,Burns
CUST-60EDC6B4,278-75-5886,Stanley,Morris
CUST-EECA013C,339-63-6057,Janet,Shepherd
CUST-EA9D0B54,627-02-8951,Morgan,Alexander
CUST-9238A57F,870-26-2174,Matthew,Schwartz
